frame,timestamp,vehicles_detected,vehicles_standard,vehicles_enhanced,total_spaces,occupied,free,occupancy_rate,space_1,space_2,space_3,space_4,space_5,space_6,space_7,space_8,space_9,space_10,space_11,space_12,space_13,space_14,space_15,space_16,space_17,space_18,space_19,space_20,space_21,space_22,space_23,space_1_method,space_2_method,space_3_method,space_4_method,space_5_method,space_6_method,space_7_method,space_8_method,space_9_method,space_10_method,space_11_method,space_12_method,space_13_method,space_14_method,space_15_method,space_16_method,space_17_method,space_18_method,space_19_method,space_20_method,space_21_method,space_22_method,space_23_method
1,0.03,9,1,8,23,19,4,82.6,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,occupied,free,free,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle_only,vehicle+visual,vehicle+visual,empty,visual_only,empty,empty
2,0.07,8,2,6,23,19,4,82.6,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,occupied,free,free,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle_only,vehicle+visual,vehicle+visual,empty,visual_only,empty,empty
3,0.1,10,2,8,23,19,4,82.6,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,occupied,free,free,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle_only,vehicle+visual,vehicle+visual,empty,visual_only,empty,empty
4,0.13,10,3,7,23,19,4,82.6,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,occupied,free,free,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle_only,vehicle+visual,vehicle+visual,empty,visual_only,empty,empty
5,0.17,10,4,6,23,19,4,82.6,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,occupied,free,free,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle_only,vehicle+visual,vehicle+visual,empty,visual_only,empty,empty
6,0.2,10,6,4,23,19,4,82.6,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,occupied,free,free,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle_only,vehicle+visual,vehicle+visual,empty,visual_only,empty,empty
7,0.23,10,5,5,23,19,4,82.6,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,occupied,free,free,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle_only,vehicle+visual,vehicle+visual,empty,visual_only,empty,empty
8,0.27,10,4,6,23,19,4,82.6,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,occupied,free,free,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle_only,vehicle+visual,vehicle+visual,empty,visual_only,empty,empty
9,0.3,11,4,7,23,19,4,82.6,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,occupied,free,free,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle_only,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,empty
10,0.33,10,3,7,23,19,4,82.6,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,occupied,free,free,visual_only,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle_only,vehicle+visual,vehicle+visual,empty,visual_only,empty,empty
