frame,timestamp,vehicles_detected,vehicles_standard,vehicles_enhanced,total_spaces,occupied,free,occupancy_rate,space_1,space_2,space_3,space_4,space_5,space_6,space_7,space_8,space_9,space_10,space_11,space_12,space_13,space_14,space_15,space_16,space_17,space_18,space_1_method,space_2_method,space_3_method,space_4_method,space_5_method,space_6_method,space_7_method,space_8_method,space_9_method,space_10_method,space_11_method,space_12_method,space_13_method,space_14_method,space_15_method,space_16_method,space_17_method,space_18_method
1,0.03,0,0,0,18,0,18,0.0,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
2,0.07,7,1,6,18,11,7,61.1,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,empty,empty
3,0.1,6,3,3,18,11,7,61.1,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,empty,empty
4,0.13,8,4,4,18,11,7,61.1,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free,empty,visual_only,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,empty,visual_only
5,0.17,9,4,5,18,11,7,61.1,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle_only,empty
6,0.2,9,4,5,18,11,7,61.1,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,empty,empty
7,0.23,7,4,3,18,11,7,61.1,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,visual_only,vehicle_only,empty
8,0.27,8,4,4,18,11,7,61.1,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,visual_only,empty,empty
9,0.3,8,4,4,18,11,7,61.1,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,visual_only,empty,empty
10,0.33,9,3,6,18,11,7,61.1,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,visual_only
11,0.37,8,4,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual
12,0.4,8,4,4,18,13,5,72.2,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual
13,0.43,8,5,3,18,13,5,72.2,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual
